0,1
Job ID: 1943304 | Amazon Digital UK Limited," Professional experience in marketing or marketing research. Excellent communications and presentation skills
 Ability to work on own initiative and as part of a team
 Results-driven focus with analytical capability
 Ability to innovate and simplify current processes and practices
 Strong direct sales skills and a proven track record of performance
 Experience working with clients
 High affinity towards data and technology with ability to dive deep and analyze opportunities and processes
 Fluent written and verbal communication in English
 Proficient written and verbal communication in a second European language
Application and Assessment Process
Selected candidates will be invited to attend a virtual interview consisting of a combination of interviews and case studies. This selection process is subject to change but you will be notified if any changes are made.



  

EU Student Programs Team



  "
Job ID: 1943044 | AMZN Pymnts Europe S.C.A.(LUX)," Currently enrolled in a Bachelor or Master Degree in computer science, computer engineering, or related fields at time of application
 Experience with one of the following programming languages: Java, Python, Ruby, Node.js, C#, or C++
 Experience with Networking fundamentals, Security, Databases (Relational and/or NoSQL), Operating Systems (Unix, Linux, and/or Windows)
 Fluent proficiency in English
 German language skills on C2 level. Experience implementing a cloud-based technology solution in a school project or while working for a company
 Experience with one or more of the following domains: systems administration (Linux/Window), network administration (DNS, IPsec, BGP, VPN, Load Balancing), or programming (Node.JS, Java, Ruby, C#, Python, or PHP)




  





  "
Job ID: 1942952 | Amazon EU SARL (Italy Branch)," Enrolled in Master or Ph.D. degree in math, statistics, computer science, or related science field.
 Experience with regression modeling, forecasting, and time series analysis.
 Experience with data scripting languages (e.g. SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)
 Experience using one or more programming languages (e.g., Python, Java, C++, C, etc.).
 Experience with big data: processing, filtering, and presenting large quantities (100K to Millions of rows) of data.. Experience in machine-learning methodologies (e.g., supervised and unsupervised learning, deep learning, etc.)  Experience with clustered data processing (e.g., Hadoop, Spark, Map-reduce, and Hive).  Experience in communicating technically, at a level appropriate for the audience. This is not a remote internship opportunity.    EU Student Programs Team



  "
Job ID: 1942626 | Amazon Web Services Singapore,"
 Bachelor's or Associate's degree in Computer Science, Computer Engineering, or related science/technical fields, equivalent training, certifications, and/or experience.
 0-2 years of relevant experience or Currently enrolled with a graduation date in 2021 or 2022.
 Experience with one of the following programming languages: Java, Python, Ruby, Node.js, C#, or C++
 Experience with two or more of the following Networking fundamentals, Security, Storage or Databases (Relational and/or NoSQL), Operating Systems (Unix, Linux, and/or Windows).Preferred Qualifications
 Good communication skills and ability to effectively articulate technical challenges and solutions to both large and small audiences
 Experience implementing a cloud-based technology solution in a school project or while working for a company
 Experience with one or more of the following domains: systems administration (Linux/Window), network administration (DNS, IPsec, BGP, VPN, Load Balancing), or programming (Node.JS, Java, Ruby, C#, Python, or PHP)
 Demonstrated ability to adapt to new technologies and learn quickly"
Job ID: 1940454 | AWS EMEA SARL (Germany Branch),"
 A degree in Computer Science / Engineering / Mathematics / Technology / Related science/technical field OR equivalent training, certifications, and/or experience.
 Interest and aptitude to learn about and deliver cloud-based solutions to customers.
 Experience with one of the programming languages like Java, Python, Ruby, Node.js, C#, or C++ OR the interest and technical ability to learn a programming language.
 Written and verbal communication skills and ability to effectively articulate technical challenges and solutions to both large and small audiences.
 Fluent proficiency in English and German..Preferred Qualifications
 Demonstrated ability to adapt to new technologies and learn quickly.
 Experience with Networking fundamentals including Security, Storage or Databases (Relational and/or NoSQL), Operating Systems (Unix, Linux, and/or Windows)
 Experience with one or more of the following domains: systems administration (Linux/Window), network administration (DNS, IPsec, BGP, VPN, Load Balancing), or programming (Node.JS, Java, Ruby, C#, Python, or PHP).
 Experience around implementing cloud-based technology solutions - in a school project or while working for a company.





  

"
Job ID: 1939754 | ADCI - Karnataka," 5+ years of experience in program or project management
 Experience defining program requirements and using data and metrics to determine improvements
 5+ years of experience working cross functionally with tech and non-tech teams
 5+ years of experience delivering cross functional projects. Proficiency in project planning methodologies and tools, ability to scale tools to automated solutions (e.g. project management tools with automated dependency management)
 Bias for action, excellent attention to detail and relentless commitment to follow-through
 Prior experience of working with teams across APAC region
 Prior experience of talent acquisition domain."
Job ID: 1938403 | Amazon Development Center DEU," Ability to work in a diverse team.
 5+ years of industry experience as a user experience designer, interaction designer, information architect, or similar design-related role
 An online portfolio demonstrating samples of design deliverables (personas, journey maps, wireframes, and prototypes) is required to apply for this role. Bachelor or Master's degree in design, human-computer interaction (HCI), or equivalent degree.
 Experience working on Design Systems.
 Fluency in best practices for information architecture and design, as well as strong knowledge of usability principles and techniques.
 Demonstrated history of acquiring user data (e.g., conducting usability studies, performing user research) and creating personas and journey maps.
 Experience with UX design for complex workflows.
 Experience designing and prototyping with tools such as Figma and Sketch.
 Strong verbal communication and presentation skills.



  

"
Job ID: 1937972 | AWS EMEA SARL (Germany Branch)," Graduated less than 6 months ago or about to complete a Bachelor or Master Degree in Computer Science, Computer Engineering, or related fields at time of application
 Although no specific programming language is required  you should be familiar with the syntax of languages such as Java, C/C++ or Python

 Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving and complexity analysis. Previous technical internship(s)
 Experience with distributed, multi-tiered systems, algorithms, and relational databases
 Experience in optimization mathematics such as linear programming and nonlinear optimization
 Ability to effectively articulate technical challenges and solutions
 Adept at handling ambiguous or undefined problems as well as ability to think abstractly


  
We prioritize candidates who demonstrate relevant skills for this role. You may wish to attend one of our upskilling events at amazonstudentevents.splashthat.com.








  

"
Job ID: 1936388 | AWS EMEA SARL (Germany Branch)," Currently enrolled for a Bachelors/ Masters degree relevant to business informatics/ Wirtschaftsinformatik, Business Administration or International Management (Expected graduation in 2023 or later).
 Experience in program and project management fundamentals
 Fluent verbal and written English language skills to effectifly communicate problems and solutions
 Enrolled as a student at a university or university of applied science in Germany for the complete duration of the internship. You have demonstrated your entrepreneurial spirit in extracurricular activities
 Experience from previous internships or working student placements
 Technology Saviness
 Fluent proficiency in German.




  

"
Job ID: 1936385 | AWS EMEA SARL (Germany Branch)," Currently enrolled for a Bachelors/ Masters degree relevant to business informatics/ Wirtschaftsinformatik, Business Administration or International Management (Expected graduation in 2023 or later).
 Experience in program and project management fundamentals
 Fluent verbal and written English language skills to effectifly communicate problems and solutions
 Enrolled as a student at a university or university of applied science in Germany for the complete duration of the internship. You have demonstrated your entrepreneurial spirit in extracurricular activities
 Experience from previous internships or working student placements
 Technology Saviness
 Fluent proficiency in German.




  

"
